"ori_node";"des_node";"ori_layer"
5780;10694;2
5780;13573;2
5780;30726;2
5796;123213;2
5796;173637;2
5797;3963;2
5797;5797;2
5797;7082;2
5797;11626;2
5797;13968;2
5797;14170;2
5797;23986;2
5797;26710;2
5797;27382;2
5797;41207;2
5797;43369;2
5797;48111;2
5797;49694;2
5823;3320;2
5823;35053;2
5824;25334;2
5824;34325;2
5824;40773;2
5824;46461;2
5826;4271;2
5826;35446;2
5840;8827;2
5840;18962;2
5840;40955;2
5840;44159;2
5840;249448;2
5892;811;2
5892;2760;2
5892;5002;2
5892;12775;2
5892;18447;2
5892;22272;2
5892;34317;2
5892;48591;2
5942;12707;2
5942;22723;2
5967;2483;2
5967;15496;2
5967;23868;2
5967;48742;2
5967;49613;2
5967;201191;2
5970;2588;2
5970;36400;2
5973;77;2
5973;28464;2
5973;30668;2
5973;48179;2
5975;31183;2
5975;48307;2
6040;6246;2
6040;12162;2
6040;17141;2
6055;4355;2
6055;14588;2
6055;20414;2
6055;26244;2
6068;14513;2
6068;31636;2
6155;12809;2
6155;36778;2
6159;12774;2
6159;23506;2
6159;24752;2
6172;47796;2
6194;2679;2
6194;5271;2
6194;9225;2
6194;10345;2
6194;32782;2
6194;38876;2
6194;42656;2
6194;42918;2
6194;44899;2
6194;45933;2
6216;7200;2
6216;35055;2
6232;6878;2
6232;25922;2
6235;8142;2
6235;13852;2
6245;4554;2
6245;6612;2
6245;32412;2
6246;6040;2
6246;12162;2
6257;31863;2
6257;41885;2
6294;38331;2
6318;102;2
6318;5273;2
6318;16544;2
6318;58599;2
6318;168025;2
6343;25294;2
6343;31358;2
6343;40453;2
6343;45546;2
6363;21898;2
6363;23870;2
6363;24234;2
6367;708;2
6367;24372;2
6367;45909;2
6367;48882;2
6385;25542;2
6385;26699;2
6446;16225;2
6446;18174;2
6446;28461;2
6468;39639;2
6468;130192;2
6498;2986;2
6498;4355;2
6498;10755;2
6498;43757;2
6499;10296;2
6499;47496;2
6500;21488;2
6500;25815;2
6534;20397;2
6534;24535;2
6534;33700;2
6534;43964;2
6534;46330;2
6612;6245;2
6612;26777;2
6620;41726;2
6620;147035;2
6637;17092;2
6637;24461;2
6637;33116;2
6637;245397;2
6641;17535;2
6641;45741;2
6641;47129;2
6656;28260;2
6656;33204;2
6675;11215;2
6675;27851;2
6677;29406;2
6704;13568;2
6704;17092;2
6704;21600;2
6704;39763;2
6705;474;2
6705;31857;2
6769;23304;2
6769;31343;2
6771;1965;2
6771;5044;2
6771;46470;2
6776;16192;2
6776;29165;2
6776;35633;2
6776;44940;2
6777;1807;2
6777;10407;2
6777;17708;2
6777;25815;2
6777;32126;2
6779;2175;2
6779;5653;2
6779;10905;2
6789;9780;2
6789;23685;2
6799;349;2
6799;16116;2
6799;20375;2
6799;47793;2
6808;12495;2
6808;18026;2
6838;11389;2
6838;34544;2
6838;51019;2
6865;4868;2
6865;6913;2
6877;3627;2
