source;target;layer;year
1450958;145518;collab;2008
1417835;59042;collab;1998
1108299;960281;collab;2000
2547633;4115898;collab;2008
1520745;361097;collab;2009
2186716;1461050;collab;2009
78072;1497543;collab;1993
1382258;1108299;collab;2008
1894512;384014;collab;2000
2263719;486954;collab;2011
438079;10545203;collab;2000
1536874;2033428;collab;1995
907095;10497604;collab;1981
625296;509724;collab;2000
2023353;426596;collab;2004
7521;1559089;collab;2011
1123088;345165;collab;2009
1311173;832491;collab;2003
1315774;47527854;collab;2006
1536874;1902888;collab;2007
2002962;1109340;collab;2009
403149;2298592;collab;2011
2437370;502782;collab;2009
1520745;2247005;collab;2009
852431;1536874;collab;1999
1752465;2164050;collab;2009
107801;152352;collab;2009
47350243;384014;collab;2006
3620966;1903859;collab;2008
763625;616265;collab;2003
642060;53761504;collab;2003
1818317;1245783;collab;2011
1940208;426596;collab;2004
10832690;3314566;collab;2003
390305;358294;collab;2002
1126212;2295139;collab;2010
1417835;1410373;collab;2005
384014;1894512;collab;2002
305047;6923352;collab;2005
3832286;154743;collab;2009
3576684;724623;collab;2008
3629733;1123088;collab;2008
4395948;453746;collab;2010
1358916;12832827;collab;2010
137638;3571615;collab;2010
846388;3316164;collab;2004
220129;1554243;collab;1994
734167;976195;collab;2009
47271543;933536;collab;2003
2340309;50412641;collab;2005
976195;169566;collab;2009
731329;561063;collab;1985
831237;10517391;collab;1992
56540832;2017504;collab;2002
867633;1628808;collab;1989
740002;3365406;collab;2008
795368;966585;collab;2009
994018;50412641;collab;2008
1554243;47224638;collab;2010
361097;2280957;collab;2011
34061757;1819604;collab;2011
1376160;122030;collab;2006
1646476;52489;collab;2006
15179;1993470;collab;1993
2702206;893694;collab;2006
1765874;257916;collab;2000
3365224;50666378;collab;1990
755515;2624870;collab;2010
154743;1536874;collab;2004
12518928;688801;collab;2004
3377755;688801;collab;2008
1065668;408891;collab;1991
494965;755515;collab;2009
683706;406243;collab;2002
1695628;981847;collab;2001
2004084;1990966;collab;2005
1004199;229270;collab;1999
566838;348338;collab;2010
21997;257916;collab;2008
1548517;1628808;collab;1990
3395434;1199500;collab;2009
764117;181077;collab;2005
1826743;134086;collab;2009
286931;541517;collab;1989
3832289;859601;collab;2010
1140946;287967;collab;2006
1361575;45178;collab;2009
808963;1461050;collab;1995
385681;1780247;collab;2000
16649;601959;collab;2003
3462420;1142659;collab;2009
454803;1148867;collab;2004
55175699;53189740;collab;1981
3409297;53698797;collab;2006
47545087;384014;collab;2011
304424;1536874;collab;1997
819325;2689917;collab;2011
3571609;623711;collab;2007
47475723;1780247;collab;2000
18046451;625296;collab;2000
80674;1123088;collab;2002
1709164;1780247;collab;2001
795368;632279;collab;2008
3347950;379416;collab;2009
53591624;403822;collab;2011
3629748;390956;collab;2008
1628808;220129;collab;1996
3629706;436647;collab;2009
1780247;1370132;collab;2003
55175564;464355;collab;2002
57153;1818317;collab;1998
2834613;991049;collab;2010
3201636;55870304;collab;2010
6090;1770271;collab;2007
10879335;709853;collab;2009
1087377;954490;collab;2007
426596;755515;collab;2003
12518928;53510019;collab;2004
85018;2708499;collab;2011
1258987;3339198;collab;2008
181077;438079;collab;2005
12716274;954490;collab;2000
1463164;417545;collab;2001
3829656;261714;collab;2011
2975450;53307089;collab;2007
53094;3313313;collab;1998
55840553;7686455;collab;1993
810133;403145;collab;2010
6822276;47613601;collab;1981
3067295;831237;collab;2001
3122979;78072;collab;2008
132193;1780247;collab;2001
3322859;54170929;collab;2007
1695830;3129332;collab;2001
10883801;257916;collab;1998
734572;625296;collab;2001
3860428;133710;collab;2010
12716274;96914;collab;2004
1117178;3349395;collab;2003
1200159;2247005;collab;2005
2476051;6829944;collab;2008
2263719;1456480;collab;2003
734167;3377149;collab;2008
2320964;18046451;collab;2007
56828080;3539699;collab;2006
868730;320403;collab;2001
50239183;695126;collab;2009
52099262;1500881;collab;2009
2295139;494965;collab;2008
110282;2065047;collab;2002
386672;1903859;collab;2005
632599;266603;collab;2010
1646476;3341885;collab;2006
740002;406798;collab;2009
3616636;20544;collab;2008
561970;2667717;collab;1981
177276;616265;collab;2004
3626301;1737218;collab;2011
819325;2689917;collab;2010
448985;244466;collab;2007
9432025;21997;collab;2010
145518;2295139;collab;2008
509373;1626534;collab;2011
17950542;1166274;collab;2008
134086;1370132;collab;2008
936378;53786510;collab;2011
1493033;332741;collab;2004
403149;1123088;collab;2006
561063;52427114;collab;1992
3832261;1243408;collab;2009
181077;994018;collab;2000
13205983;689320;collab;2011
3566350;494965;collab;2011
3365278;1108299;collab;1998
37078;54170929;collab;2000
6923352;1140946;collab;1999
2325655;64290;collab;1996
1327835;53578978;collab;1990
408891;185676;collab;1989
34063326;53192;collab;2011
2297826;409393;collab;1997
1370132;683784;collab;2004
2210758;50677792;collab;1982
1417835;1598769;collab;1998
840008;236800;collab;2005
179886;21997;collab;2009
137638;3377755;collab;2010
3653216;21997;collab;2010
10878479;856095;collab;2008
840035;494785;collab;1992
12687154;1500881;collab;2005
763625;1310109;collab;2003
2122309;61985;collab;1985
795368;300644;collab;2003
588349;3629706;collab;2010
1263617;67090;collab;1996
5766956;42175;collab;2011
149997;2320964;collab;2011
2518238;92804;collab;2009
10715604;64290;collab;1981
1691800;312350;collab;2009
696825;781239;collab;2004
1509545;3365250;collab;2004
1361575;1500881;collab;2009
92804;281152;collab;2005
127219;933536;collab;2005
1461050;1628808;collab;2003
3544435;494965;collab;2008
3629750;1780247;collab;2008
3005767;361097;collab;2009
9149894;2114277;collab;2006
1053557;625296;collab;2003
1122091;417545;collab;2001
