source;target;layer;timestamp
adelethorens;bastiengirod;retweets;2015-08-15
adelethorens;alinetrede;retweets;2015-08-15
adelethorens;bastiengirod;retweets;2015-08-15
adelethorens;bglaettli;retweets;2015-08-15
adelethorens;bglaettli;favorites;2015-08-15
adelethorens;RegulaRytz;favorites;2015-08-14
adelethorens;adelethorens;favorites;2015-08-14
adelethorens;adelethorens;favorites;2015-08-14
adelethorens;bastiengirod;retweets;2015-08-13
adelethorens;bastiengirod;retweets;2015-08-13
adelethorens;bastiengirod;retweets;2015-08-13
adelethorens;bglaettli;retweets;2015-08-13
adelethorens;bastiengirod;favorites;2015-08-13
adelethorens;bglaettli;favorites;2015-08-13
adelethorens;bglaettli;favorites;2015-08-12
adelethorens;bglaettli;retweets;2015-08-12
adelethorens;bglaettli;retweets;2015-08-11
adelethorens;bglaettli;retweets;2015-08-11
adelethorens;bastiengirod;retweets;2015-08-11
adelethorens;RegulaRytz;retweets;2015-08-11
adelethorens;RegulaRytz;retweets;2015-08-08
adelethorens;RegulaRytz;retweets;2015-08-08
adelethorens;RobertCramer_GE;retweets;2015-08-05
adelethorens;bglaettli;retweets;2015-08-05
adelethorens;bglaettli;retweets;2015-07-29
adelethorens;bastiengirod;retweets;2015-07-24
adelethorens;bglaettli;retweets;2015-07-24
adelethorens;SteRossini63;retweets;2015-07-24
adelethorens;bglaettli;retweets;2015-07-24
adelethorens;bglaettli;retweets;2015-07-23
adelethorens;bglaettli;retweets;2015-07-22
adelethorens;jcschwaab;retweets;2015-07-21
adelethorens;bglaettli;retweets;2015-07-20
adelethorens;bglaettli;retweets;2015-07-17
adelethorens;adelethorens;favorites;2015-07-17
adelethorens;bglaettli;retweets;2015-07-14
adelethorens;bglaettli;favorites;2015-07-14
adelethorens;AndreaCaroniAR;favorites;2015-07-14
adelethorens;jcschwaab;retweets;2015-07-11
adelethorens;bastiengirod;retweets;2015-07-10
adelethorens;bastiengirod;retweets;2015-07-10
adelethorens;jcschwaab;retweets;2015-07-09
adelethorens;bastiengirod;retweets;2015-07-09
adelethorens;bglaettli;retweets;2015-07-08
adelethorens;bastiengirod;retweets;2015-07-07
